Date,Trx Count
9/30/2022,125958
10/1/2022,115374
10/2/2022,120327
10/3/2022,119409
10/4/2022,115560
10/5/2022,115774
10/6/2022,121529
10/7/2022,116514
10/8/2022,99962
10/9/2022,100598
10/10/2022,108805
10/11/2022,107102
10/12/2022,103801
10/13/2022,107662
10/14/2022,96483
10/15/2022,95392
10/16/2022,122060
10/17/2022,107318
10/18/2022,105431
10/19/2022,102654
10/20/2022,127228
10/21/2022,92655
10/22/2022,87753
10/23/2022,93506
10/24/2022,104264
10/25/2022,112368
10/26/2022,112038
10/27/2022,167417
10/28/2022,124263
10/29/2022,119798
10/30/2022,125853
10/31/2022,128035
11/1/2022,137421
11/2/2022,121565
11/3/2022,125562
11/4/2022,105202
11/5/2022,98138
11/6/2022,113612
11/7/2022,109502
11/8/2022,106511
11/9/2022,102546
11/10/2022,118639
11/11/2022,97480
11/12/2022,94454
11/13/2022,98700
11/14/2022,99102
11/15/2022,99739
11/16/2022,102539
11/17/2022,114789
11/18/2022,90319
11/19/2022,112523
11/20/2022,98933
11/21/2022,94402
11/22/2022,98631
11/23/2022,93978
11/24/2022,95525
11/25/2022,86437
11/26/2022,98942
11/27/2022,138530
11/28/2022,128993
11/29/2022,129859
11/30/2022,131671
12/1/2022,134050
12/2/2022,117583
12/3/2022,107570
12/4/2022,111759
12/5/2022,113248
12/6/2022,117974
12/7/2022,106854
12/8/2022,105950
12/9/2022,92200
12/10/2022,90672
12/11/2022,102581
12/12/2022,103488
12/13/2022,97749
12/14/2022,100004
12/15/2022,110725
12/16/2022,90274
12/17/2022,88448
12/18/2022,94970
12/19/2022,91442
12/20/2022,116721
12/21/2022,106990
12/22/2022,105142
12/23/2022,88588
12/24/2022,88074
12/25/2022,105825
12/26/2022,106789
12/27/2022,146246
12/28/2022,136176
12/29/2022,138248
12/30/2022,115748
12/31/2022,117371
1/1/2023,128292
1/2/2023,125409
1/3/2023,117107
1/4/2023,120384
1/5/2023,123054
1/6/2023,99927
1/7/2023,101077
1/8/2023,112407
1/9/2023,110990
1/10/2023,111723
1/11/2023,116892
1/12/2023,114894
1/13/2023,103894
1/14/2023,100317
1/15/2023,106400
1/16/2023,121413
1/17/2023,109364
1/18/2023,108971
1/19/2023,104214
1/20/2023,87913
1/21/2023,87396
1/22/2023,97669
1/23/2023,100076
1/24/2023,104734
1/25/2023,128561
1/26/2023,167913
1/27/2023,122804
1/28/2023,111899
